,No.,Nama_Cafe_atau_Restoran,lokasi_restoran,jenis_masakan/minuman ,ulasan,sosial_media,nama_makanan,Kecamatan,Kabupaten,Cafe/restoran,Harga_Rata-rata,rating,Rentang_Harga_Rata-Rata,kecamatan,kabupaten,CR_Angka
0,1,Kantin Makanan Jepang Hana Hana,"Jl. Assumatrani No. 01, Kopelma Darussalam, Banda Aceh","Sweets, Jajanan, Jepang","gak pernah kecewa order online di hana, porsinya sesuai gkada yg kurang walaupun pesannya es serut. packagingnya rapi, dan semuanya masih hangat/dingin sesuai pesanannya. dan ada tmbahan alat2 makannya juga plus dikasih tisu juga. mantappp",@kantin_jepang_hanahana,Takoyaki,Syiah Kuala,Banda Aceh,cafe,12000,4.7,1,1,1,2
1,2,Nasi Uduk Nixas,"Jl. Teuku Nyak Arief No. 23, Syiah Kuala, Banda Aceh",Aneka nasi,rasanya enak porsinya banyak dan anak kost wajib beli ini karena porsinya banyak,@nasiuduknixas,Nasi Uduk Ayam Goreng,Syiah Kuala,Banda Aceh,restoran,16000,4.7,1,1,1,1
2,3,Island Drink House,"Jl. T. Nyak Arief, Kopelma Darussalam (Samping Bank Aceh), Kec. Syiah Kuala, Banda Aceh","Minuman, Jajanan, Thailand","Porsinya masih lebih banyak dari pada yang lain, rasa juga enak",@island.indonesia,Yogurt Mango,Syiah Kuala,Banda Aceh,cafe,16000,4.8,1,1,1,2
3,4,"King Fried Chicken, Darussalam","Jl. Teuku Nyak Arief No. 10 (Kopelma Darussalam), Syiah Kuala, Banda Aceh","Ayam & bebek, Cepat saji",nasi nya enak kali.. ayam enak.. sambal matah biasa.. lemon tea kemanisan,@kingfriedchicken.bandaaceh,PaketGeprek Komplit,Syiah Kuala,Banda Aceh,restoran,31000,4.8,4,1,1,1
4,5,Ayam Bakar Ayam Penyet Wong Solo,"Jl. Rukoh Utama Darussalam, Syiah Kuala, Banda Aceh",Ayam & bebek,"enakk bgtt, nasinya masih hangat begitu sampai dan pulennn, ikannya juga masi hangat, bumbunya enak bgt krispi juga, dalam ikannya lembut, terus saus cabe ijonya beuhh mantap sii. pertahankan kualitasnya yaa","@wongsolo.darussalam
",Paket Ayam Bakar,Syiah Kuala,Banda Aceh,restoran,29000,4.8,3,1,1,1
5,6,KFC,"Jl. Teuku Nyak Arif No. 17, Syiah Kuala, Banda Aceh",Cepat saji,"Baik banget , ramah, sopan",@kfclamnyongaceh,Jagoan Hemat,Syiah Kuala,Banda Aceh,restoran,47500,4.7,4,1,1,1
6,7,Nasi Uduk Kelapa Dua,"Jl. T. Nyak Arief, Syiah Kuala, Banda Aceh","Seafood, Aneka nasi, Ayam & bebek",Nasi Uduk tiap hari pesannya cm disini doank. Dahlah markotop,@nasiudukkelapadua,Nasi uduk Ikan Nila K2,Syiah Kuala,Banda Aceh,restoran,25000,4.7,3,1,1,1
7,8,Martabak Mesir & Bangka Annajah,"Jl. Teuku Nyak Arief (Lamnyong Swalayan), Syiah Kuala, Banda Aceh",Martabak,Kece Banget Chefnya Bisa Nyamain Rasa Di Lidah Org,@martabakmesir_mie_aceh_sabena_,Kecil Ayam,Syiah Kuala,Banda Aceh,cafe,23000,4.5,2,1,1,2
8,9,Nasi Uduk Nufana,"Jl. T. Nyak Arief (Depan SPBU Lamnyong), Syiah Kuala, Banda Aceh","Aneka nasi, Ayam & bebek, Seafood","rasanya enak tp ayamnya terlalu kecil,sambal nya jg kurang pedas tapi enakk deh","@nasiuduknufana
",Nasi Uduk Ayam Nufana,Syiah Kuala,Banda Aceh,restoran,20000,4.7,2,1,1,1
9,10,Metro Nasi Soto,"Jl. T. Nyak Arief, Syiah Kuala, Banda Aceh",Bakso & soto,Selalu puas karna apa yg dingin pelangga selalu terpenuhi makasih,@metronasisoto,Nasi Soto,Syiah Kuala,Banda Aceh,restoran,25000,4.6,3,1,1,1
