hasil_prediksi,nama_restoran,menu_makanan,alamat,kecamatan,kabupaten,crangka,harga,reting
1,Kantin Makanan Jepang Hana Hana,Takoyaki,"Jl. Assumatrani No. 01, Kopelma Darussalam, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,12000,4
1,Nasi Uduk Nixas,Nasi Uduk Ayam Goreng,"Jl. Teuku Nyak Arief No. 23, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,16000,4
1,Island Drink House,Yogurt Mango,"Jl. T. Nyak Arief, Kopelma Darussalam (Samping Bank Aceh), Kec. Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,16000,4
4,"King Fried Chicken, Darussalam",PaketGeprek Komplit,"Jl. Teuku Nyak Arief No. 10 (Kopelma Darussalam), Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,31000,4
3,Ayam Bakar Ayam Penyet Wong Solo,Paket Ayam Bakar,"Jl. Rukoh Utama Darussalam, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,29000,4
4,KFC,Jagoan Hemat,"Jl. Teuku Nyak Arif No. 17, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,47500,4
3,Nasi Uduk Kelapa Dua,Nasi uduk Ikan Nila K2,"Jl. T. Nyak Arief, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,25000,4
2,Martabak Mesir & Bangka Annajah,Kecil Ayam,"Jl. Teuku Nyak Arief (Lamnyong Swalayan), Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,23000,4
2,Nasi Uduk Nufana,Nasi Uduk Ayam Nufana,"Jl. T. Nyak Arief (Depan SPBU Lamnyong), Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,20000,4
3,Metro Nasi Soto,Nasi Soto,"Jl. T. Nyak Arief, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,25000,4
1,Nasi Uduk Cekmi,Aneka Juice,"Jl. T. Nyak Arief, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,6000,4
2,Mie Turis,Indomie Udang,"Jl. T. Nyak Arif, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,20000,4
4,"King Fried Chicken, Lampineung",PaketGeprek Komplit,"Jl. T Panglima Nyak Makam No. 28, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,31000,4
4,"Qeez Pancake, Kp. Pineung",Nasi Bakar Teri + Ayam Goreng,"Jl. Tgk. Chik Dipineung Raya No. 49, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,32000,4
4,"Daus Nasi Goreng dan Mie Khas Aceh, Lampineung",Nasi goreng Seafood,"Jl. T. Panglima Nyak Makam, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,48000,4
3,"Quantum Coffee & Brasserie, Lampineung",Espresso,"Jl. P. Nyak Makam, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,26000,4
4,JCO,Donuts 1 Dzn,"Jl. T Panglima Nyak Makam No. 7, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,105000,4
2,Seven Kei,Choco hazelnut Latte,"Jl .T. Nyak Makam No 17, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,23000,4
3,"Pondok Orenz, Beurawe",Paket Nasi Ayam Bakar,"Jl. T Hasan Dek, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,25000,4
